valsi	lojban	english	type_discrepancy
jicla	ko jicla le mi'u stasu co'u le nu ri febvi	Stir the soup until it boils.	
jicmu	le logji cu jicmu la lojban	Logic is the foundation of Lojban.	
jicmu	le tcica cu jicmu ro nu jamna	Trickery is the basic of every war.	
jicmu	le nu zgana gi'e lanli cu jicmu ro saske	Monitoring and analysis is the foundation of every science.	
jijnu	mi pu jijnu le du'u le mi'u fetsi cu smusku le jitfa	I knew intuitively that she was lying.	
jikca	ko jikca la'e me'o so pa pa	Dial 911!	
jikca	ra jikca le so'i prenu gi'e di'i gasnu le te salci	He is a sociable person interacting with many people and regularly organizing parties.	
jikni	le nu frili vecnu cu jikni le vi tutra	Free market is the economy of this region.	
jikru	mi pu pinxe le jikru be le mraji	I drank an alcoholic drink distilled from rye.	
jilka	mi pu lumci le palta se pi'o le jilka be le sodna	I washed dishes using soda.	
jilra	mi pu jilra le bruna be mi le ka tai frili tavla fo la lojban	I envied the ease at which my brother talked in Lojban.	
jimca	le jimca be le za'u vi tricu cu snime blabi	Branches of these trees are snow white.	
jimpe	mi na jimpe tu'a do	I don't understand you.	
jimpe	mi na jimpe le du'u ma kau smuni le se cusku be do	I don't understand the meaning of what you said.	
jimte	ti noi mokca cu jimte mi le ka mo'u se klama	This point is the limit that I can reach.	
jinci	ti jinci le pelji	These are scissors for cutting paper.	
jinga	la alis pu jinga le ralju le drata nixli pa nu vi'i ve'u bajra	Alice won the main prize gaining the victory over other girls in a long distant race.	
jinku	ti jinku le remna tu'a le vidru le ka se setca fi le ciblu	This a vaccine for human use, it protects against viruses and is to be injected into the blood.	
jinme	ti noi grana cu jinme	This rod is metallic.	
jinme	le slami cu daspo le jinme	Acid destroys metal.	
jinru	le mi'u ba'o tricu pu jinru le djacu	The stump was immersed in the water.	
jinsa	mi pu jai gau jinsa fai le mi'u jubme lei palta	I cleared the table of dishes.	
jinto	ti jinto le jinsa djacu	This is a spring of clean water.	
jinvi	mi pu darsi le ka tugni ra pa se jinvi be ra	I dared to support his opinion.	
jinvi	mi jinvi fi la .alis. goi .abu. fe le du'u ri na gasnu le zekri kei fo le du'u no da skicu fi ma'a fe le nu .abu. vi zvati	I think Alice didn't commit the crime on grounds that no one told us of her being nearby.	
jinvi	le pendo be mi cu jinvi le du'u le tcini cu zenba le ka xlali	My friend thinks that the situation is deteriorating.	
jinzi	le mi'u fetsi cu se jinzi le ka certu le ka zgipli	She has a natural talent for playing the music.	
jinzi	do se jinzi le ka badri	You are a boring person.	
jipci	le jipci cu nelci le tsiju	Chickens like seeds.	
jipno	mi pu pencu le mi'u plise se pi'o le jipno be le mi tance	I touched the apple with the tip of my tongue.	
jipno	le jipno be le nazbi be mi mo'u dunja	The tip of my nose is frozen.	
jirna	le mi'u mirli cu se jirna le clani	The deer has long horns.	
jisra	bu'u ma te vecnu le jisra be le grute	Where can one buy fruit juice?	
jitfa	le du'u le mi'u nanla cu se slabu la alis cu jitfa le du'u le mi'u nanla cu kucli le nu la alis cu mo kau	It's false that the boy is familiar with Alice since he is wondering who she is.	
jitro	le jatna be mi cu jitro mi le ka gunka ti	My boss controls me in working on this.	
jitro	lei pulji cu jitro le sruri	The police controls the surroundings.	
jivbu	le ankabuta cu jivbu le julne le se cigla be fi vo'a	Spiders weave nets from secrets of their glands.	
jivna	la alis pu jivna le drata nixli pa nu vi'i ve'u bajra vau le ka cpacu le jdini	Alice competed with other girls in a long distance race with a monetary prize for the winner.	x4: definition expects (Entity or nu, Event) gain; example uses "le ka cpacu le jdini" (ka, Property), not Entity or nu.
jmaji	le jbopre pu jmaji pa dinju le vrici gugde	Lojbanists from various countries gathered in a house.	
jmifa	pu zdile fa le ka limna vi lei jmifa	It was amusing to swim near the reefs.	
jmina	le mi'u sfofa cu jmina le ka se kufra vau le mi'u kumfa	The sofa adds comfort to the room.	
jmina	mi ba jmina le so'o crino spati le mi'u nanba le pa snuji	I will add some greenery to bread getting a sandwich.	
jmive	le mi'u danlu cu jmive le ka ruble muvdu	The animal is alive since it is weakly moving.	x2: definition expects (si'o, Standard); example uses "le ka ruble muvdu" (ka, Property), not si'o.
jorne	la alis cu jorne pa stizu pa skori	Alice is tied to a chair with a rope.	
jorne	ko jorne la'e me'o so pa pa	Call 911!	
jorne	mi ba jorne do ba le nu mi cliva le ckule	I will call you after I leave the school.	
jubme	xu da kunti jubme	Is there a free table?	
judri	ma judri do le tcadu	What is your city address?	
judri	ma judri do le kibro ve mrilu	What is your e-mail address?	
jufra	lu i le mlatu cu pinxe li'u jufra le danlu la lojban	{i lo mlatu cu pinxe} is a sentence about animals in Lojban language.	
jukpa	le mi'u mamta pu jukpa pa torta le ka punji pa pu'o torta le toknu	Mother cooked a cake by putting a raw "cake" in the oven.	
julne	ti julne fi le finpe	This is a fishing net.	
julne	tu julne le djacu le rismi	That is a colander that lets the water pass and retains rice.	
jundi	mi pu jundi le nu ra pu cusku ma kau	I was attentive at was he was saying.	
jungo	le mi'u fetsi cu jungo le ka tcila be le flira be ce'u	The girl is Chinese in her face features.	
junla	ti junla le snidu be li pi mu	This clock measures seconds to the precision of 0.5 seconds.	
junri	xu do junri le ka te mukti le ka cliva le bu'u gugde	Are you serious in your intent to leave this country?	
junta	le gunka pe le kensa cu se junta le ki'ogra be li pa no no le mi'u terdi	The space worker weights 100 kilograms in the gravity of the Earth.	
jurme	le mi'u lanli pu pilno le jurme le cipra	The researcher used bacteria for tests.	
jursa	le ka jivna pu jursa mi	Competition was fierce for me.	
jutsi	mi zgana le cinki noi jutsi so'i da	I watch insects of all kinds.	
juxre	le nu mi cadzu le cmana cu juxre le ka se sutra lo ka'u prenu	My walking on the ground is clumsy compared to how nimbly people usually walk on it.	
jvinu	le jvinu be le xamsi bei le kumfa pe mi cu banli	I have a great view of the sea from my room.	
kabri	e'o do te cpacu le pa kabri be le ckafi mi	Please, give me a cup of coffee.	
kacma	ti kacma le mi'u tcadu pa datni centero	This is a camera recording images of the city to a data center.	
kafke	ra pu kafke le barda le ganxo	He made a big fart.	
kagni	pa kagni be le jbopre bei le nu kakpa le ctile pu zvafa'i le ctile le loldi be le xamsi	The Lojbanists' chartered oil drilling company discovered oil at the bed of the sea.	
kajde	lei rirni pu kajde mi'a le ba vlile tcima	Parents warned us about heavy weather.	
kajna	mi pu punji le mi'u pelji le mi'u kajna be le fagri stuzi	I put the paper on the mantel.	
kakne	mi na kakne le ka sipna	I can't sleep.	
kakpa	pu bapli le nu la tom cu kakpa le karce pe vo'a lei snime	Tom had to dig his car out of the snow.	
kalci	le kalci be le bakni cu jai rinka le nu le dertu cu ferti	Cow dung makes soil fertile.	
kalri	le mi'u canko cu kalri le nenri le vifne vacri	The window is open letting the fresh air in.	
kalri	gau ko kalri fa le mi'u canko	Open the window.	
kalri	ko jai gau kalri fai le mi'u canko	Open the window.	
kalsa	le kumfa pe mi cu kalsa le ka bu'u ce'u le bukpu pe mi cu zvati ma kau	My room is a mess (in where are my clothes).	
kalte	lei mi'u certu pu kalte le finpe le nu lei mi'u certu cu lanli lei finpe	The researchers hunted fish in order to study them.	
kamju	le mi'u pa kamju cu sarji le korbi be le mi'u drudi	The column supports the edge of the roof.	
kamni	le mi'u kamni be le ka jai gau farvi le mi'u bangu cu gunma za'u pa no prenu	There are more than 10 members in the committee for developing the language.	
kampu	pa da zo'u le ka dasni le morna be fi da cu kampu ro ckaji le ka ti ckule fo ce'u	Wearing the same uniform is common for every student in this school.	
kanba	le mi'u cirla cu se zbasu fi le ladru be le kanba	The cheese is made from goat's milk.	
kancu	mi pu kancu le'i prenu li pa re le re mei	I counted the people as 12 couples.	
kandi	fi mi fa le mi'u valsi cu kandi le ka se smuni	To me the word is dim in meaning.	
kanla	la alis cu se kanla le barda je melbi	Alice has big beautiful eyes.	
kanpe	fi li so'u fa mi pu kanpe le nu do clira volta	I didn't expect you to return early.	
kanpe	le nu mi mo'u klama cu pu na ku se kanpe su'o da	My arrival wasn't expected by anyone.	
kanro	mi kanro le ka na cortu le galxe	I'm healthy in that my throat doesn't ache.	x2: definition expects (si'o, Standard); example uses "le ka na cortu le galxe" (ka, Property), not si'o.
kansa	le mi'u gerku pe mi fe'e ro roi kansa mi	My dog is everywhere with me.	
kansa	ro roi pu pluka fa le ka kansa do le ka gunka	It was pleasant to work with you.	
kantu	mi pu xaksu re kantu be le cacra ta'i le nu mi denpa tu'a do	I wasted two hours waiting for you.	
kantu	ti du le re kantu be le makfa	Here are two pieces of magic.	
karce	ti karce le festi	It's a trash truck.	
karce	do te mukti le ka te vecnu le pa karce pe ma noi kagni	A car of what company are you going to buy?	
karda	xu ka'e pleji se pi'o le dejni karda	Is it possible to pay with a credit card?	
kargu	le ka tai litru cu kargu mi se la'u li du'e	Such trip is too expensive to me.	
karli	le mi'u fetsi pu punji pa karli le sruri be le cintura	She put a waist around her waist.	
karni	mi tcidu pa karni be le pu zi nuzba	I'm reading a magazine about recent news.	
katna	mi pu katna le mi'u nanba le pa no mei	I cut the bread into 10 pieces.	
kavbu	mi pu kavbu le mi'u mlatu fi le ka ce'u jorne ce'u	I caught the cat with a net.	
kavbu	le mi'u nanla pu kavbu le bolci fi le ka ce'u jorne ce'u	The boy caught the ball with a net.		
kecti	mi kecti do le nu do fliba le ka jinga	I feel sorry for you that you failed to win.	
kelci	pa nixli ca'o zukte le ka kelci le bambola pe vo'a	A girl is playing with her doll.	
kelvo	le vacri ca kelvo li ji'i re ze ci	It's around 273 degrees Kelvin (0 degrees Celsius).	
kenra	le kenra be le tatru ka'e mo'u te mikce	Breast cancer can be cured.	
kensa	so'i mluni cu vofli bu'u le kensa be le mi'u terdi	There are many satellites flying in outer space near the Earth.	
kerfa	le kerfa be mi cu clani	My hair is long.	
kerlo	doi le gerku ko na pencu le kerlo be mi	Dog, don't touch my ears!	
ketco	ti'e le mi'u fetsi cu klama fi pa ketco gugde ku i'u cu'i	They say she is from some South American country.	
kevna	pa da kevna le drudi	There is a hole in the roof.	
kibro	pa pendo be mi cu finti pa karni poi kibro le ka se benji fu ma kau	A friend of mine is an author of a magazine that is delivered via the internet.	
kicne	ko jgari le kicne gi'e sipna	Take a cushion and go to sleep.	
kijno	le kijno joi le cidro cu se gunma le djacu	Oxygen and hydrogen make water.	
kilto	le xamsi cu kilto le ka mitre vau le ka condi	The sea is 1'000 meters deep.	
kinli	le mi'u balre cu kinli le jipno	The tip of the blade is sharp.	
klaji	ti ralju klaji le mi'u tcadu le vrici zarci	This is the main street of the city giving access to various shops.	
klaku	ra pu klaku le barda	She cried large tears.	
klama	.i xu do klama fi la .nipon.	Are you from Japan?	
klama	.i le dargu cu se kruca lu'a le pu ve klama be le ractu	The road crossed what was the rabbit's track.	
klama	mi'a pu klama fu le ka se marce le bloti vau fo lu'a le lalxu fi le zdani fe le daplu	We sailed on the boat along the lake from the home to an island.	
klama	mi pu klama fi la .nipon. fu le ka se marce le vinji	I flew from Japan.	
klama	xu do pu klama fu le aftobuso fe la paris	Did you ride the bus to Paris?	
klama	ra pu klama le nenri	He came in.	
klama	mi klama la kaliforniias ri lu'i la nipon	I returned to California from Japan.	
klani	le pa mlatu cu klani li pi mu le ka mitre ma kau le ka clani	The cat is measured 0.5 meters in length.	x3 and x4: definition expects x₃ (si'o, Scale of property...); example uses "le ka mitre" and "le ka clani" (ka), not si'o Scale.
klani	lei mlatu cu klani li vo le ka gunma le'i xo kau da i je va'i le mlatu cu vo mei	The mass of the cats is measured as having 4 units, in other words, there are 4 cats.	x3: definition expects (si'o, Scale); example uses "le ka gunma le'i xo kau da" (ka, Property), not si'o.
klesi	mi cmima le klesi be le se zdani bei le ka vecnu	I belong to the merchant class of inhabitants.	
klesi	do na klesi lei se nelci be mi	You are not my type.	
klesi	ti su'o si'e su'o drata klesi be le notci	This is another type of message.	
klina	le vacri pu klina le darno voksa	The air was clean to pass a distant voice.	
klina	le mi'u nanla pu klina le ka te smuni ma kau	The boy was pretty clear in what he meant.	x2: definition expects (Entity or nu, Event) transmission; example uses "le ka te smuni ma kau" (ka, Property), not Entity or nu.
kliru	la iodi'um cu kliru	Iodine is a halogen.	
kliti	xu do mo'u zbasu le mi'u kabri le ranti kliti	Have you worked the cup out of soft clay?	
kluza	le mi'u creka pu kluza mi le ka se pagbu le tubnu	The shirt was loose on me in sleeves.	
kobli	mi pu citka le kobli stasu	I ate a cabbage soup.	
kojna	le mi'u baktu cu jibni pa kojna be le mi'u kumfa	The bucket is in a corner of the room.	
kokso	xu do kakne le ka jai gau porpi fai le kokso	Can you crack the coconut?	
kolme	le kolme ca'o jelca	Coal is burning.	
kolme	mi mo'u xaksu le mi'u kolme	I've used up the coal.	
konju	le tarci jadni cu te konju fi le mi'u tricu	The star is the tip of the tree.	
korbi	ti korbi le re rirxe	This is the border between the two rivers.	
korcu	lei cidni be la alis mo'u korcu	Alice's knees buckled.	
korcu	le mi'u jukpa pu korcu ga'u le fagri	The cook leaned over the fire.	
korka	le korka be le cindu cu rotsu	The cork of oak trees is thick.	
korvo	le mi'u korvo cu xekri du'i le ka kolme	The raven is black as coal.	
kosta	ko co'a dasni le mi'u kosta	Put the coat on.	
krali	le prenu poi nanca li su'o po'o pa bi cu se krali le ka co'a speni vau le jecta be le vi gugde	People of not less than 18 years only have a right to marry under the polity of this country.	
kramu	ti voi foldi cu kramu li re ki'o le ka mitre	This field is 2000 square meters.	
krasi	le nu zgipli cu krasi le mi'u se tigni	Playing music is the initial part of the performance.	
krasi	pa jinto cu krasi ti noi rirxe	A well is the beginning of this river.	
krasi	ma krasi do	What is your origin?	
krati	pa krati be le turni bei le ka ckini fi le gubni co'a tavla lei mi'u se natmi	A representative of the governor in public relations started talking to the nation.	
krefu	le na te snada cu krefu lу nu troci vau li ci	The attempt ended in a failure for the third time.	
krici	mi pu krici le du'u la .teris. pendo la .alis. kei la .alis.	I used to believe Terry was Alice's friend.	
krili	ti du le za'u krili be le silna	These are the crystals of salt.	
krinu	ma krinu le nu do jai lerci	What is the reason for your lateness?	
krixa	ra pu krixa zo sidju	He cried, "Help!"	
kruca	ko carna fi le zunle bu'u le te kruca	Turn left at the crossroad.	
kruca	mi pu denpa bu'u le te kruca be le ralju dargu bei le dertu dargu	I was waiting at the place where the main road was intersected by a dirt road.	
kruji	au pei bisli kruji	Would you like ice cream?	
kubli	ti kubli lo ka ganra gi'e mitre li re kei joi lo ka clani gi'e mitre li ci	This is a polygon of 2 meters wide and three meters long.	
kucli	mi kucli le nu tu noi ninmu cu zukte ma	I'm curious what is that woman doing?	
kufra	mi kufra le ka vreta bu'u le jbini be re kicne	I feel comfortable lying between the two pillows.	
kukte	le vi badna cu kukte mi	For me this banana is sweet.	
kukte	ko se kukte	Bon appetite!	
kulnu	lei ka citka lo insekto cu kulnu so'e remna	Insect-eating is the culture of most humans.	
kumfa	le vi kumfa be le xotli cu barda	This hotel room is large.	
kumte	le gidva be mi'a cu kakne le ka sazri le kumte	Our guide can ride a camel.	
kunra	ti kunra le tirse le cmana	This is an iron containing ore mined from mountains.	
kunti	le mi'u kabri cu kunti	The glass is empty.	
kurfa	lei sonci pu kurfa le vo mitre be li mu	Soldiers formed together a rectangle 5 meters in each side.	
kurji	ei kurji le bilma	We should take care of the patient.	
kurki	le mi'u birje cu kurki	The beer is bitter.	
kuspe	lu na ku mi nelci li'u zo'u le mulno brisni poi du lu mi nelci li'u cu se kuspe lu na ku li'u	As for {i naku mi nelci} the whole clause {mi nelci} is in the scope of {naku}.	
kuspe	mi na kakne le ka kuspe tu noi forca	I can't get that fork.	
kusru	ko na kusru mi	Don't be cruel to me.	
kusru	lei rirni pu kusru mi le ka na e'ande mi le ka kelci bu'u le bartu	The parents were cruel to me in not allowing playing outside.
labno	mi pu tirna le nu le labno cu cmoni	I heard wolfs howling.	
lacpu	la alis pu lacpu la kevin re'o le kerfa	Alice dragged Kevin upstairs by the hair.	
lacri	mi lacri do le ka ma kau sidju	I rely on you to help me.	x3: definition expects (nu, Event or State); example uses "le ka ma kau sidju" (ka, Property), not nu.
lacri	mi xebni le ka lacri le karce pe mi le ka klama le jai se djica be mi fu ma kau	I hate having to rely on my car to get where I want.	
ladru	e'o do sabji le pa kabri be le ladru mi	Please give me a glass of milk.	
ladru	le mi'u nixli ca'o di'i pinxe le ladru poi se cupra le mamta be vo'a	The girl still regularly her mother's milk.	
lafti	xu do kakne le ka lafti le mi'u rokci	Can you lift the stone?	
lakne	lakne fa le nu ba carvi	I will probably rain.	
lakne	lakne fa le nu le nabmi na nandu	The problem is probably not hard.	
lakse	le bifce cu cupra le lakse	Bees produce wax.	
laldo	ti noi kosta cu laldo le ka ze'a ma kau se dasni	This jacket is old in how long it has been worn.	
lalxu	ai mi vitke le lalxu be le mi'u panka	I'm going to visit a lake in the park.	
lamji	le zdani be la alis cu lamji le ckule le ka se stuzi vau le ka ce'u ce'u stici	Alice's home is adjacent to the school in where it is located and it is to the east of the school when viewed from here.	
lanbi	le nanba cu vasru le so'i lanbi	Bread contains a lot of protein.	
lanci	ti lanci la lojban	This is the flag of Lojban.	
lanka	ko jgari le lanka be le fragari	Take a basket with strawberries.	
lanli	le mi'u mikce cu lanli le bilma le ka tirna le fepri	The doctor examines the patient by listening to the lungs.	x3: definition expects (nu, Event) method; example uses "le ka tirna le fepri" (ka, Property), not nu.
lanme	ti noi cirla cu se zbasu fi le ladru be le lanme	This cheese is made from sheep's milk.	
lante	ti lante le festi	It's a can for waste.	
lanxe	le nu mi gunka jo'u le nu mi surla cu lanxe le se zukte be mi	I keep my work and my leisure time in balance.	
lanzu	ti lanzu le citno le ka ce'u ce'u prami	This is a family of young people bound by mutual love.	x3: definition expects (si'o, Standard) bond; example uses "le ka ce'u ce'u prami" (ka, Property), not si'o.
larcu	za'a do certu le larcu be le ka finti le melbi se sanga	I can see, you are an expert in creating beautiful songs.	
larcu	le ka prami cu larcu	Love is an art.	
lasna	le mi'u prenu pu lasna la kevin pa kamju pa skori	The person tied Kevin to a pillar with a rope.	
lastu	le lastu cu mixre le tunka joi le zinki	Brass is an alloy of copper and zinc.	
latna	le mi'u latna co'a me le xrula poi se panci le pluka	The lotus turns into a flower with a pleasant scent.	
lazni	mi lazni le ka catlu le mi'u matra	I am lazy to look at the engine.	
lebna	le mi'u za'u mei pu lebna fi mi fe le ka se krali le ka ponse le mi'u karce	They took my rights on owning the car.	
lebna	mi pu lebna pa titla le mi'u tanxe ca le nu le drata na jundi	I took a candy from the box when other weren't attentive.	
lenjo	ti lenjo le gusni le darno	This lens focusing light has a long focal length.	
lenjo	mi co'a dasni lei lenjo te zu'e le ka sfubu	I put on goggles in order to dive.	
lenjo	ko bevri fi mi fe lei lenjo pe mi	Bring me my glasses.	
lenku	le vacri cu zenba le ka lenku	It's getting cold.	
lenku	le mi'u jisra pe ne'i le mi'u lenku minji pu xlali	The juice in the fridge was no good.	
lerci	le nu mi volta le zdani cu lerci le se jinvi be le mamta be mi	According to my mother, I returned home late.	x2: definition expects (si'o, Standard); example uses "le se jinvi be le mamta" (Entity: mother's opinion) as benchmark.
lerfu	zoi ry.д.ry. lerfu le rusko zo d	д is a letter of Russian alphabet representing sound {d}.	
letri	le dilnu cu letri le ka cupra le lindi	The cloud are electric in that they produce lightning.	
lidne	le mlatu ba lidne le gerku le ka se casnu ca ma kau	Cats will be discussed before dogs.	x3: definition expects (Sequence<Entity>); example uses "le ka se casnu ca ma kau" (ka, Property), not Sequence.
lifri	mi pu'i ze'u lifri le nandu	I've had a hard life.	
lifri	do ba lifri lo ka poi ke'a nabmi do	You'll get into trouble (undergo a property that is a problem for you).
lifri	mi pu lifri le nu mi ganse le cizra	I underwent strange sensation.	
lijda	le na krici tu'a pa cevni na te lijda	Not believing in God is not a religion.	
lijda	la animism cu lijda le remna poi se zdani le vi tumla le du'u ro dacti cu vasru le pruxi	Animism is a religion of people living on this land that asserts that every object contains a spirit.	
lijda	do se lijda ma	What is your religion?	
limna	e'a nai do limna le xamsi	Don't swim in the sea!	
lindi	sa'u tu pe pu ku cu lindi le darno pa dilnu	That was just a lightning that stroke far away from here striking from a cloud.	
linji	lei pulji pu se linji le clani te zu'e le ka kurji le cadzu prenu	The police officers formed long lines in order to protect walking people.	
linto	le mi'u mlatu verba cu linto	The kitten is lightweight.	
lisri	ko skicu pa lisri be le crida mi	Tell me a story about fairies.	
liste	mi pu tcidu fi pa liste be le'i notci noi fi ke'a porsi le ka ce'u e ba bo ce'u se benji	I read a log of messages, which were sorted in the order of being sent.	
litce	ti noi djacu cu litce li re	It's two liters of water.	
litki	ko satre le mi'u litki pa panje	Wipe the liquid with a sponge.	
litki	le mi'u bisli ca'o co'a litki	The ice is melting.	
litru	mi pu litru le fange gugde	I travelled abroad.	
livga	xu le ka citka le livga be le jipci cu xamgu do	Is eating chicken liver good for you?	
livla	le mi'u toknu cu se livla le mudri	The furnace is stoked up with wood.	
livla	le livla na banzu	There isn't enough fuel.	
logji	le du'u le prina be fi le jamfu be pa nixli cu nenri le mi'u dinju cu logji le du'u la alis pu zvati ti	By the fact that there are footprints of a girl inside the house, one concludes that Alice was here.	
lojbo	.i mi lojbo le ka se cinri la .lojban. vau .i je mi na se bangu la .lojban.	I'm a Lojbanic person in that I'm interested in Lojban; I don't speak it.	
loldi	mi pu sipna bu'u le loldi be le kumfa pe mi	I slept on the floor of my room.	
lorxu	le lorxu cu citka le jipci	Foxes eat hens.	
lujvo	zo ki'ogra lujvo lo ka ce'u grake lo pilji be li pa nonono kei lo ka kilto gi'e grake ce'o lo ka se grake kei lu kilto grake li'u	{ki'ogra} is a lujvo meaning "is a thousand of grams" with arguments referencing relations "what is measured in thousands and is measured in grams", "the number of grams"; affixes of the lujvo are built from {kilto} and {grake} attached sequentially.	
lumci	mi pu lumci so'o palta le stali	I washed off the remains from some dishes.	
lunbe	le mi'u cifnu ca lunbe	The baby is naked now.	
lunra	le mi'u terdi cu se lunra pa da	The Earth has one natural moon.	
lunsa	le bisli lunsa pu gacri le mi'u dertu	Frost covered the ground.	
luska	ti noi luska cu cpare co masno	This mollusk moves slowly.	
mabla	fi mi le mi'u cidja cu mabla le ka se zalvi le denci	For me the food is awful in chewing it.	
mabru	le delfinu cu mabru	Dolphins are mammals.	
macnu	ti noi karce cu macnu le ka gau cenba le ka sutra	The speed of this car is changed manually.	
makcu	le mi'u nanmu cu simlu le ka makcu le ka seksi	The man seems to be mature in his sexuality.	
makfa	le nu le mi'u ractu cu canci cu makfa le mi'u verba la djon	The disappearance of the rabbit performed by John was magical for the child. 	
malsi	ti malsi le budjo	This is a Buddhist temple.	
mamta	le mamta be do pu zukte ma ca le nu do mo'u klama le zdani	What was your mother doing when you got home?	
manfo	le mi'u bukpu ca manfo le ka se tengu	The cloth is uniform in texture.	
mango	mi pu no roi citka le mango	I have never eaten mangoes.	
manku	le mi'u kumfa cu manku	The room is dark.	
manri	le junla cu manri lo nu djuno fi lo tcika kei lo ka tcidu lo se zvati be lo pagbu be le nei le nei	The clock is a frame of reference for determining time by reading position of its parts from it.	
manri	mi manri le nu ma kau ba jinga vau lo ka jdice ma kau	I'm the standard of determining of who will win, however I decide that will be so.	x2 and x3: definition expects x₂ (Entity), x₃ (Entity) rules; example uses "le nu ..." (Event) and "lo ka jdice" (ka), not Entity.
manri	tu voi ve'i cmana ba manri le nu zgana le mi'u tumla	That hill will be the reference frame for observing the land.	
mansa	le zdani be mi cu mansa mi le ka tcini bu'u ce'u	I'm satisfied with the conditions in my house.	
manti	le sakta cu trina le manti	Sugar attracts ants.	
mapku	ai mi dasni le mapku	I'm going to put on the hat.	
mapni	le mapni cu zabna	The cotton is of high quality.	
mapti	le se cusku be do na mapti le se cusku be le jatna pe do le ka se smuni	Your words are inconsistent in meaning with what your boss said.	
mapti	ti ckiku le na mapti be ti noi stela	This is a key incompatible with this lock.	
mapti	ta mapti le zabna le ka jai se djica mi	That is exactly what I want.	
marbi	pu bapli le nu mi se marbi le laldo dinju fi le su'u mi cilmo	I had to take shelter in an old building in order not to become wet.	
marce	ti marce le se vecnu	This is a vehicle for carrying goods.	
marce	ti marce ge le se vecnu na'o ku gi le remna ca'a ku	This is a vehicle intended to transport goods but actually used for transporting people.	
marde	le ka zukte le se cpedu be le bilma cu marde ei do	Doing what the ill person asks should be you ethics.	
margu	xu le margu cu jinme	Is mercury a metal?	
marji	ti noi nanba cu marji le mraji le bliku	This bread is made of rye and has the form of a block.	
marna	ti skori le marna	This is a cable made of hemp.	
marxa	mi pu marxa le patlu le pesxu	I made mashed potatoes.	
masno	le mi'u verba ca simlu le ka masno le ka cadzu	The child seems to be slow at walking.	
masti	le lidne dunra cu masti li ci	The past winter lasted for 3 months.	
matci	ko jai mosra le cutci pe do le mi'u matci	Wipe your shoes on the mat.	
matli	ti noi creka cu matli	This shirt is linen.	
matne	mi pu citka pa snuji be le matne bei le nanba	I ate a sandwich with butter and bread.	
matra	ti noi karce cu se matra le vlipa	This car has a powerful engine.	
mavji	ze'u ku le mavji gau ralju cidja le xirma	Oats have long been the main food for horses.	
maxri	le nanba cu se zbasu fi le maxri	Bread is made of wheat.	
mebri	le mi'u fetsi pu se mebri le kalri	She had a forehead open.	
megdo	mi ponse le megdo be le ka rupnu be li ci vau bei le ka stuzi	I own three million dollars in real estate.	
megdo	e'o pilno lo pixra poi megdo le ka baitni li su'e 1 vau le ka se datni	Please choose an image that does not exceed 1 Megabyte.	
mekso	lu li vo du li re su'i re li'u mekso la lojban	{li vo du li resu'i re} is a mathematical expression in Lojban.	
mekso	zoi cy.(x+15&~15).cy. mekso le bangu poi du la c	"(x+15&~15)" is a mathematical expression in C language.	
melbi	le mi'u ninmu cu melbi mi le ka se catlu	For me the woman is beautiful to look at.	
menli	le menli be le smani cu simsa le menli be le remna	The mind of monkeys is similar to the one of humans.	
mensi	do mensi mi le ka se patfu	You are my brother since we are born from the same father.	
mentu	le nu penmi cu mentu be li ji'i xa no	The meeting is approximately 60 minutes long.	
merko	mi'a pu rinsa le mi'u pa merko	We greeted the American.	
merli	mi merli le jubme li pa le ka mitre vau li pi pa	I measured the length of the table as 1 meter with accuracy 0.1 meters.	
midju	ra pu sanli bu'u le midju be le mi'u dargu	He was standing in the middle of the road.	
mifra	zoi .mifr.cni rni dn.mifr. mifra lu coi ro do li'u le ka me'o o bu pe ce'u se basti me'o ny pe ce'u	cni rni dn is an encoded Lojban phrase {coi ro do} where {n} is a replacement for {o}.	
mifra	zo coi mifra le nu rinsa vau le bangu	{coi} is a greeting encoded in language.	
mikce	le mi'u mikce pu minde mi le nu mi sipna	The doctor ordered me to sleep.	
mikce	le mamta be mi pu mikce mi tu'a le bekpi be mi ta'i le nu punji le jduli	My mother treated my ill back by applying an ointment.	
mikri	le jurme cu mikri le ka mitre li re vau le ka ganra	The microbe is 2 micrometers wide.	
milti	le jubme cu milti le ka mitre li bi no no vau le ka ganra	The table is 800 millimeters wide.	
milxe	lei djacu cu milxe le ka glare	The water is warm (not hot).	
milxe	mi milxe le ka tatpi	I'm tired to a moderate degree.	
minde	le turni pu minde mi le nu mi klama ca le drani	The manager ordered me to come on time.	
minji	ti minji le ka cpacu loi djacu	This is an automated apparatus for getting water.	
minli	le dargu cu minli li re	The road is two kilometers long.	
minra	le djacu pu minra le gusni be fi la sol la alis le marvele barna	Water reflected the sunlight that Alice could see as marvelous spots.	
minra	le mi'u bitmu so'i roi minra le sance	The wall echoes the sound several times.	
mintu	tu noi nanmu gi'e dasni le pelxu cu mintu le patfu be do	That man wearing yellow is your father.	
mipri	mi pu mipri le mi'u torta le mi'u verba	I hid the pie from the child.	
mirli	co'a le ka jbena vau le mirli cu kakne le ka sanli	A baby deer can stand as soon as it is born.	
misno	la su'o da cu jai misno le pilno be la lojban	Someone (having such a name) is famous among Lojban speakers.	
